timestamp,BTC: Price,timestamp,BTC: MVRV Ratio,timestamp,200D-SMA,timestamp,Mayer Multiple,timestamp,BTC: Realized Price,timestamp,---,timestamp,Very High Risk,timestamp,Very Low Risk,timestamp,High Risk,timestamp,Low Risk
,,2009-01-03T00:00:00.000Z,1,,,,,2009-01-03T00:00:00.000Z,0.049510000000000005,2009-01-03T00:00:00.000Z,1,,,,,,,,
,,2009-01-04T00:00:00.000Z,1,,,,,2009-01-04T00:00:00.000Z,0.049510000000000005,2009-01-04T00:00:00.000Z,1,,,,,,,,
,,2009-01-05T00:00:00.000Z,1,,,,,2009-01-05T00:00:00.000Z,0.049510000000000005,2009-01-05T00:00:00.000Z,1,,,,,,,,
,,2009-01-06T00:00:00.000Z,1,,,,,2009-01-06T00:00:00.000Z,0.049510000000000005,2009-01-06T00:00:00.000Z,1,,,,,,,,
,,2009-01-07T00:00:00.000Z,1,,,,,2009-01-07T00:00:00.000Z,0.049510000000000005,2009-01-07T00:00:00.000Z,1,,,,,,,,
,,2009-01-08T00:00:00.000Z,1,,,,,2009-01-08T00:00:00.000Z,0.049510000000000005,2009-01-08T00:00:00.000Z,1,,,,,,,,
,,2009-01-09T00:00:00.000Z,1,,,,,2009-01-09T00:00:00.000Z,0.04951000000000001,2009-01-09T00:00:00.000Z,1,,,,,,,,
,,2009-01-10T00:00:00.000Z,1,,,,,2009-01-10T00:00:00.000Z,0.049510000000000005,2009-01-10T00:00:00.000Z,1,,,,,,,,
,,2009-01-11T00:00:00.000Z,1.0000000000000002,,,,,2009-01-11T00:00:00.000Z,0.049510000000000005,2009-01-11T00:00:00.000Z,1,,,,,,,,
,,2009-01-12T00:00:00.000Z,1.0000000000000002,,,,,2009-01-12T00:00:00.000Z,0.049510000000000005,2009-01-12T00:00:00.000Z,1,,,,,,,,
,,2009-01-13T00:00:00.000Z,1,,,,,2009-01-13T00:00:00.000Z,0.049510000000000005,2009-01-13T00:00:00.000Z,1,,,,,,,,
,,2009-01-14T00:00:00.000Z,1,,,,,2009-01-14T00:00:00.000Z,0.049510000000000005,2009-01-14T00:00:00.000Z,1,,,,,,,,
,,2009-01-15T00:00:00.000Z,1,,,,,2009-01-15T00:00:00.000Z,0.049510000000000005,2009-01-15T00:00:00.000Z,1,,,,,,,,
,,2009-01-16T00:00:00.000Z,1,,,,,2009-01-16T00:00:00.000Z,0.049510000000000005,2009-01-16T00:00:00.000Z,1,,,,,,,,
,,2009-01-17T00:00:00.000Z,1,,,,,2009-01-17T00:00:00.000Z,0.049510000000000005,2009-01-17T00:00:00.000Z,1,,,,,,,,
,,2009-01-18T00:00:00.000Z,1.0000000000000002,,,,,2009-01-18T00:00:00.000Z,0.04951,2009-01-18T00:00:00.000Z,1,,,,,,,,
,,2009-01-19T00:00:00.000Z,1,,,,,2009-01-19T00:00:00.000Z,0.049510000000000005,2009-01-19T00:00:00.000Z,1,,,,,,,,
,,2009-01-20T00:00:00.000Z,1,,,,,2009-01-20T00:00:00.000Z,0.049510000000000005,2009-01-20T00:00:00.000Z,1,,,,,,,,
,,2009-01-21T00:00:00.000Z,1,,,,,2009-01-21T00:00:00.000Z,0.049510000000000005,2009-01-21T00:00:00.000Z,1,,,,,,,,
,,2009-01-22T00:00:00.000Z,1,,,,,2009-01-22T00:00:00.000Z,0.049510000000000005,2009-01-22T00:00:00.000Z,1,,,,,,,,
,,2009-01-23T00:00:00.000Z,1,,,,,2009-01-23T00:00:00.000Z,0.049510000000000005,2009-01-23T00:00:00.000Z,1,,,,,,,,
,,2009-01-24T00:00:00.000Z,1.0000000000000002,,,,,2009-01-24T00:00:00.000Z,0.04951,2009-01-24T00:00:00.000Z,1,,,,,,,,
,,2009-01-25T00:00:00.000Z,1,,,,,2009-01-25T00:00:00.000Z,0.049510000000000005,2009-01-25T00:00:00.000Z,1,,,,,,,,
,,2009-01-26T00:00:00.000Z,1,,,,,2009-01-26T00:00:00.000Z,0.04951000000000001,2009-01-26T00:00:00.000Z,1,,,,,,,,
,,2009-01-27T00:00:00.000Z,1,,,,,2009-01-27T00:00:00.000Z,0.049510000000000005,2009-01-27T00:00:00.000Z,1,,,,,,,,
,,2009-01-28T00:00:00.000Z,1,,,,,2009-01-28T00:00:00.000Z,0.049510000000000005,2009-01-28T00:00:00.000Z,1,,,,,,,,
,,2009-01-29T00:00:00.000Z,1,,,,,2009-01-29T00:00:00.000Z,0.049510000000000005,2009-01-29T00:00:00.000Z,1,,,,,,,,
,,2009-01-30T00:00:00.000Z,1,,,,,2009-01-30T00:00:00.000Z,0.049510000000000005,2009-01-30T00:00:00.000Z,1,,,,,,,,
,,2009-01-31T00:00:00.000Z,1.0000000000000002,,,,,2009-01-31T00:00:00.000Z,0.049510000000000005,2009-01-31T00:00:00.000Z,1,,,,,,,,
,,2009-02-01T00:00:00.000Z,1.0000000000000002,,,,,2009-02-01T00:00:00.000Z,0.049510000000000005,2009-02-01T00:00:00.000Z,1,,,,,,,,
,,2009-02-02T00:00:00.000Z,1,,,,,2009-02-02T00:00:00.000Z,0.049510000000000005,2009-02-02T00:00:00.000Z,1,,,,,,,,
,,2009-02-03T00:00:00.000Z,1,,,,,2009-02-03T00:00:00.000Z,0.049510000000000005,2009-02-03T00:00:00.000Z,1,,,,,,,,
,,2009-02-04T00:00:00.000Z,1,,,,,2009-02-04T00:00:00.000Z,0.049510000000000005,2009-02-04T00:00:00.000Z,1,,,,,,,,
,,2009-02-05T00:00:00.000Z,1.0000000000000002,,,,,2009-02-05T00:00:00.000Z,0.049510000000000005,2009-02-05T00:00:00.000Z,1,,,,,,,,
,,2009-02-06T00:00:00.000Z,1,,,,,2009-02-06T00:00:00.000Z,0.049510000000000005,2009-02-06T00:00:00.000Z,1,,,,,,,,
,,2009-02-07T00:00:00.000Z,1,,,,,2009-02-07T00:00:00.000Z,0.049510000000000005,2009-02-07T00:00:00.000Z,1,,,,,,,,
,,2009-02-08T00:00:00.000Z,1,,,,,2009-02-08T00:00:00.000Z,0.049510000000000005,2009-02-08T00:00:00.000Z,1,,,,,,,,
,,2009-02-09T00:00:00.000Z,1,,,,,2009-02-09T00:00:00.000Z,0.049510000000000005,2009-02-09T00:00:00.000Z,1,,,,,,,,
,,2009-02-10T00:00:00.000Z,1,,,,,2009-02-10T00:00:00.000Z,0.049510000000000005,2009-02-10T00:00:00.000Z,1,,,,,,,,
,,2009-02-11T00:00:00.000Z,1,,,,,2009-02-11T00:00:00.000Z,0.049510000000000005,2009-02-11T00:00:00.000Z,1,,,,,,,,
,,2009-02-12T00:00:00.000Z,1,,,,,2009-02-12T00:00:00.000Z,0.049510000000000005,2009-02-12T00:00:00.000Z,1,,,,,,,,
,,2009-02-13T00:00:00.000Z,1,,,,,2009-02-13T00:00:00.000Z,0.049510000000000005,2009-02-13T00:00:00.000Z,1,,,,,,,,
,,2009-02-14T00:00:00.000Z,1.0000000000000002,,,,,2009-02-14T00:00:00.000Z,0.049510000000000005,2009-02-14T00:00:00.000Z,1,,,,,,,,
,,2009-02-15T00:00:00.000Z,1.0000000000000002,,,,,2009-02-15T00:00:00.000Z,0.04951,2009-02-15T00:00:00.000Z,1,,,,,,,,
,,2009-02-16T00:00:00.000Z,1.0000000000000002,,,,,2009-02-16T00:00:00.000Z,0.049510000000000005,2009-02-16T00:00:00.000Z,1,,,,,,,,
,,2009-02-17T00:00:00.000Z,1.0000000000000002,,,,,2009-02-17T00:00:00.000Z,0.049510000000000005,2009-02-17T00:00:00.000Z,1,,,,,,,,
,,2009-02-18T00:00:00.000Z,1,,,,,2009-02-18T00:00:00.000Z,0.049510000000000005,2009-02-18T00:00:00.000Z,1,,,,,,,,
,,2009-02-19T00:00:00.000Z,1.0000000000000002,,,,,2009-02-19T00:00:00.000Z,0.049510000000000005,2009-02-19T00:00:00.000Z,1,,,,,,,,
,,2009-02-20T00:00:00.000Z,1.0000000000000002,,,,,2009-02-20T00:00:00.000Z,0.049510000000000005,2009-02-20T00:00:00.000Z,1,,,,,,,,
,,2009-02-21T00:00:00.000Z,1,,,,,2009-02-21T00:00:00.000Z,0.049510000000000005,2009-02-21T00:00:00.000Z,1,,,,,,,,
,,2009-02-22T00:00:00.000Z,1,,,,,2009-02-22T00:00:00.000Z,0.049510000000000005,2009-02-22T00:00:00.000Z,1,,,,,,,,
,,2009-02-23T00:00:00.000Z,1.0000000000000002,,,,,2009-02-23T00:00:00.000Z,0.049510000000000005,2009-02-23T00:00:00.000Z,1,,,,,,,,
,,2009-02-24T00:00:00.000Z,1.0000000000000002,,,,,2009-02-24T00:00:00.000Z,0.049510000000000005,2009-02-24T00:00:00.000Z,1,,,,,,,,
,,2009-02-25T00:00:00.000Z,1.0000000000000002,,,,,2009-02-25T00:00:00.000Z,0.049510000000000005,2009-02-25T00:00:00.000Z,1,,,,,,,,
,,2009-02-26T00:00:00.000Z,1,,,,,2009-02-26T00:00:00.000Z,0.049510000000000005,2009-02-26T00:00:00.000Z,1,,,,,,,,
,,2009-02-27T00:00:00.000Z,1,,,,,2009-02-27T00:00:00.000Z,0.049510000000000005,2009-02-27T00:00:00.000Z,1,,,,,,,,
,,2009-02-28T00:00:00.000Z,1.0000000000000002,,,,,2009-02-28T00:00:00.000Z,0.049510000000000005,2009-02-28T00:00:00.000Z,1,,,,,,,,
,,2009-03-01T00:00:00.000Z,1.0000000000000002,,,,,2009-03-01T00:00:00.000Z,0.049510000000000005,2009-03-01T00:00:00.000Z,1,,,,,,,,
,,2009-03-02T00:00:00.000Z,1,,,,,2009-03-02T00:00:00.000Z,0.049510000000000005,2009-03-02T00:00:00.000Z,1,,,,,,,,
,,2009-03-03T00:00:00.000Z,1,,,,,2009-03-03T00:00:00.000Z,0.049510000000000005,2009-03-03T00:00:00.000Z,1,,,,,,,,
,,2009-03-04T00:00:00.000Z,1.0000000000000002,,,,,2009-03-04T00:00:00.000Z,0.049510000000000005,2009-03-04T00:00:00.000Z,1,,,,,,,,
,,2009-03-05T00:00:00.000Z,1,,,,,2009-03-05T00:00:00.000Z,0.049510000000000005,2009-03-05T00:00:00.000Z,1,,,,,,,,
,,2009-03-06T00:00:00.000Z,1,,,,,2009-03-06T00:00:00.000Z,0.049510000000000005,2009-03-06T00:00:00.000Z,1,,,,,,,,
,,2009-03-07T00:00:00.000Z,1,,,,,2009-03-07T00:00:00.000Z,0.049510000000000005,2009-03-07T00:00:00.000Z,1,,,,,,,,
,,2009-03-08T00:00:00.000Z,1,,,,,2009-03-08T00:00:00.000Z,0.049510000000000005,2009-03-08T00:00:00.000Z,1,,,,,,,,
,,2009-03-09T00:00:00.000Z,1.0000000000000002,,,,,2009-03-09T00:00:00.000Z,0.04951,2009-03-09T00:00:00.000Z,1,,,,,,,,
,,2009-03-10T00:00:00.000Z,1,,,,,2009-03-10T00:00:00.000Z,0.049510000000000005,2009-03-10T00:00:00.000Z,1,,,,,,,,
,,2009-03-11T00:00:00.000Z,1,,,,,2009-03-11T00:00:00.000Z,0.049510000000000005,2009-03-11T00:00:00.000Z,1,,,,,,,,
,,2009-03-12T00:00:00.000Z,1,,,,,2009-03-12T00:00:00.000Z,0.049510000000000005,2009-03-12T00:00:00.000Z,1,,,,,,,,
,,2009-03-13T00:00:00.000Z,1,,,,,2009-03-13T00:00:00.000Z,0.04951000000000001,2009-03-13T00:00:00.000Z,1,,,,,,,,
,,2009-03-14T00:00:00.000Z,1.0000000000000002,,,,,2009-03-14T00:00:00.000Z,0.04951,2009-03-14T00:00:00.000Z,1,,,,,,,,
,,2009-03-15T00:00:00.000Z,1,,,,,2009-03-15T00:00:00.000Z,0.049510000000000005,2009-03-15T00:00:00.000Z,1,,,,,,,,
,,2009-03-16T00:00:00.000Z,1.0000000000000002,,,,,2009-03-16T00:00:00.000Z,0.049510000000000005,2009-03-16T00:00:00.000Z,1,,,,,,,,
,,2009-03-17T00:00:00.000Z,1,,,,,2009-03-17T00:00:00.000Z,0.049510000000000005,2009-03-17T00:00:00.000Z,1,,,,,,,,
,,2009-03-18T00:00:00.000Z,1,,,,,2009-03-18T00:00:00.000Z,0.049510000000000005,2009-03-18T00:00:00.000Z,1,,,,,,,,
,,2009-03-19T00:00:00.000Z,1,,,,,2009-03-19T00:00:00.000Z,0.04951000000000001,2009-03-19T00:00:00.000Z,1,,,,,,,,
,,2009-03-20T00:00:00.000Z,1.0000000000000002,,,,,2009-03-20T00:00:00.000Z,0.04951,2009-03-20T00:00:00.000Z,1,,,,,,,,
,,2009-03-21T00:00:00.000Z,1,,,,,2009-03-21T00:00:00.000Z,0.049510000000000005,2009-03-21T00:00:00.000Z,1,,,,,,,,
,,2009-03-22T00:00:00.000Z,1,,,,,2009-03-22T00:00:00.000Z,0.049510000000000005,2009-03-22T00:00:00.000Z,1,,,,,,,,
,,2009-03-23T00:00:00.000Z,1,,,,,2009-03-23T00:00:00.000Z,0.049510000000000005,2009-03-23T00:00:00.000Z,1,,,,,,,,
,,2009-03-24T00:00:00.000Z,1,,,,,2009-03-24T00:00:00.000Z,0.049510000000000005,2009-03-24T00:00:00.000Z,1,,,,,,,,
,,2009-03-25T00:00:00.000Z,1,,,,,2009-03-25T00:00:00.000Z,0.049510000000000005,2009-03-25T00:00:00.000Z,1,,,,,,,,
,,2009-03-26T00:00:00.000Z,1,,,,,2009-03-26T00:00:00.000Z,0.049510000000000005,2009-03-26T00:00:00.000Z,1,,,,,,,,
,,2009-03-27T00:00:00.000Z,1.0000000000000002,,,,,2009-03-27T00:00:00.000Z,0.049510000000000005,2009-03-27T00:00:00.000Z,1,,,,,,,,
,,2009-03-28T00:00:00.000Z,1,,,,,2009-03-28T00:00:00.000Z,0.049510000000000005,2009-03-28T00:00:00.000Z,1,,,,,,,,
,,2009-03-29T00:00:00.000Z,1.0000000000000002,,,,,2009-03-29T00:00:00.000Z,0.049510000000000005,2009-03-29T00:00:00.000Z,1,,,,,,,,
,,2009-03-30T00:00:00.000Z,1,,,,,2009-03-30T00:00:00.000Z,0.049510000000000005,2009-03-30T00:00:00.000Z,1,,,,,,,,
,,2009-03-31T00:00:00.000Z,1,,,,,2009-03-31T00:00:00.000Z,0.049510000000000005,2009-03-31T00:00:00.000Z,1,,,,,,,,
,,2009-04-01T00:00:00.000Z,1.0000000000000002,,,,,2009-04-01T00:00:00.000Z,0.049510000000000005,2009-04-01T00:00:00.000Z,1,,,,,,,,
,,2009-04-02T00:00:00.000Z,1.0000000000000002,,,,,2009-04-02T00:00:00.000Z,0.04951,2009-04-02T00:00:00.000Z,1,,,,,,,,
,,2009-04-03T00:00:00.000Z,1,,,,,2009-04-03T00:00:00.000Z,0.049510000000000005,2009-04-03T00:00:00.000Z,1,,,,,,,,
,,2009-04-04T00:00:00.000Z,1.0000000000000002,,,,,2009-04-04T00:00:00.000Z,0.049510000000000005,2009-04-04T00:00:00.000Z,1,,,,,,,,
,,2009-04-05T00:00:00.000Z,1,,,,,2009-04-05T00:00:00.000Z,0.049510000000000005,2009-04-05T00:00:00.000Z,1,,,,,,,,
,,2009-04-06T00:00:00.000Z,1,,,,,2009-04-06T00:00:00.000Z,0.049510000000000005,2009-04-06T00:00:00.000Z,1,,,,,,,,
,,2009-04-07T00:00:00.000Z,1,,,,,2009-04-07T00:00:00.000Z,0.049510000000000005,2009-04-07T00:00:00.000Z,1,,,,,,,,
,,2009-04-08T00:00:00.000Z,1.0000000000000002,,,,,2009-04-08T00:00:00.000Z,0.049510000000000005,2009-04-08T00:00:00.000Z,1,,,,,,,,
,,2009-04-09T00:00:00.000Z,1,,,,,2009-04-09T00:00:00.000Z,0.049510000000000005,2009-04-09T00:00:00.000Z,1,,,,,,,,
,,2009-04-10T00:00:00.000Z,1,,,,,2009-04-10T00:00:00.000Z,0.049510000000000005,2009-04-10T00:00:00.000Z,1,,,,,,,,
,,2009-04-11T00:00:00.000Z,1,,,,,2009-04-11T00:00:00.000Z,0.049510000000000005,2009-04-11T00:00:00.000Z,1,,,,,,,,
,,2009-04-12T00:00:00.000Z,1.0000000000000002,,,,,2009-04-12T00:00:00.000Z,0.049510000000000005,2009-04-12T00:00:00.000Z,1,,,,,,,,
,,2009-04-13T00:00:00.000Z,1,,,,,2009-04-13T00:00:00.000Z,0.049510000000000005,2009-04-13T00:00:00.000Z,1,,,,,,,,
,,2009-04-14T00:00:00.000Z,1,,,,,2009-04-14T00:00:00.000Z,0.049510000000000005,2009-04-14T00:00:00.000Z,1,,,,,,,,
,,2009-04-15T00:00:00.000Z,1.0000000000000002,,,,,2009-04-15T00:00:00.000Z,0.049510000000000005,2009-04-15T00:00:00.000Z,1,,,,,,,,
,,2009-04-16T00:00:00.000Z,1,,,,,2009-04-16T00:00:00.000Z,0.049510000000000005,2009-04-16T00:00:00.000Z,1,,,,,,,,
,,2009-04-17T00:00:00.000Z,1.0000000000000002,,,,,2009-04-17T00:00:00.000Z,0.049510000000000005,2009-04-17T00:00:00.000Z,1,,,,,,,,
,,2009-04-18T00:00:00.000Z,1.0000000000000002,,,,,2009-04-18T00:00:00.000Z,0.049510000000000005,2009-04-18T00:00:00.000Z,1,,,,,,,,
,,2009-04-19T00:00:00.000Z,1,,,,,2009-04-19T00:00:00.000Z,0.049510000000000005,2009-04-19T00:00:00.000Z,1,,,,,,,,
,,2009-04-20T00:00:00.000Z,1,,,,,2009-04-20T00:00:00.000Z,0.049510000000000005,2009-04-20T00:00:00.000Z,1,,,,,,,,
,,2009-04-21T00:00:00.000Z,1,,,,,2009-04-21T00:00:00.000Z,0.049510000000000005,2009-04-21T00:00:00.000Z,1,,,,,,,,
,,2009-04-22T00:00:00.000Z,1,,,,,2009-04-22T00:00:00.000Z,0.049510000000000005,2009-04-22T00:00:00.000Z,1,,,,,,,,
,,2009-04-23T00:00:00.000Z,1,,,,,2009-04-23T00:00:00.000Z,0.049510000000000005,2009-04-23T00:00:00.000Z,1,,,,,,,,
,,2009-04-24T00:00:00.000Z,1.0000000000000002,,,,,2009-04-24T00:00:00.000Z,0.049510000000000005,2009-04-24T00:00:00.000Z,1,,,,,,,,
,,2009-04-25T00:00:00.000Z,1.0000000000000002,,,,,2009-04-25T00:00:00.000Z,0.049510000000000005,2009-04-25T00:00:00.000Z,1,,,,,,,,
,,2009-04-26T00:00:00.000Z,1,,,,,2009-04-26T00:00:00.000Z,0.049510000000000005,2009-04-26T00:00:00.000Z,1,,,,,,,,
,,2009-04-27T00:00:00.000Z,1,,,,,2009-04-27T00:00:00.000Z,0.049510000000000005,2009-04-27T00:00:00.000Z,1,,,,,,,,
,,2009-04-28T00:00:00.000Z,1,,,,,2009-04-28T00:00:00.000Z,0.049510000000000005,2009-04-28T00:00:00.000Z,1,,,,,,,,
,,2009-04-29T00:00:00.000Z,1.0000000000000002,,,,,2009-04-29T00:00:00.000Z,0.049510000000000005,2009-04-29T00:00:00.000Z,1,,,,,,,,
,,2009-04-30T00:00:00.000Z,1.0000000000000002,,,,,2009-04-30T00:00:00.000Z,0.049510000000000005,2009-04-30T00:00:00.000Z,1,,,,,,,,
,,2009-05-01T00:00:00.000Z,1,,,,,2009-05-01T00:00:00.000Z,0.049510000000000005,2009-05-01T00:00:00.000Z,1,,,,,,,,
,,2009-05-02T00:00:00.000Z,1,,,,,2009-05-02T00:00:00.000Z,0.049510000000000005,2009-05-02T00:00:00.000Z,1,,,,,,,,
,,2009-05-03T00:00:00.000Z,1.0000000000000002,,,,,2009-05-03T00:00:00.000Z,0.049510000000000005,2009-05-03T00:00:00.000Z,1,,,,,,,,
,,2009-05-04T00:00:00.000Z,1.0000000000000002,,,,,2009-05-04T00:00:00.000Z,0.04951,2009-05-04T00:00:00.000Z,1,,,,,,,,
,,2009-05-05T00:00:00.000Z,1,,,,,2009-05-05T00:00:00.000Z,0.049510000000000005,2009-05-05T00:00:00.000Z,1,,,,,,,,
,,2009-05-06T00:00:00.000Z,1,,,,,2009-05-06T00:00:00.000Z,0.049510000000000005,2009-05-06T00:00:00.000Z,1,,,,,,,,
,,2009-05-07T00:00:00.000Z,1.0000000000000002,,,,,2009-05-07T00:00:00.000Z,0.04951,2009-05-07T00:00:00.000Z,1,,,,,,,,
,,2009-05-08T00:00:00.000Z,1,,,,,2009-05-08T00:00:00.000Z,0.04951000000000001,2009-05-08T00:00:00.000Z,1,,,,,,,,
,,2009-05-09T00:00:00.000Z,1,,,,,2009-05-09T00:00:00.000Z,0.04951000000000001,2009-05-09T00:00:00.000Z,1,,,,,,,,
,,2009-05-10T00:00:00.000Z,1,,,,,2009-05-10T00:00:00.000Z,0.049510000000000005,2009-05-10T00:00:00.000Z,1,,,,,,,,
,,2009-05-11T00:00:00.000Z,1.0000000000000002,,,,,2009-05-11T00:00:00.000Z,0.04951,2009-05-11T00:00:00.000Z,1,,,,,,,,
,,2009-05-12T00:00:00.000Z,1,,,,,2009-05-12T00:00:00.000Z,0.049510000000000005,2009-05-12T00:00:00.000Z,1,,,,,,,,
,,2009-05-13T00:00:00.000Z,1,,,,,2009-05-13T00:00:00.000Z,0.049510000000000005,2009-05-13T00:00:00.000Z,1,,,,,,,,
,,2009-05-14T00:00:00.000Z,1,,,,,2009-05-14T00:00:00.000Z,0.049510000000000005,2009-05-14T00:00:00.000Z,1,,,,,,,,
,,2009-05-15T00:00:00.000Z,1.0000000000000002,,,,,2009-05-15T00:00:00.000Z,0.04951,2009-05-15T00:00:00.000Z,1,,,,,,,,
,,2009-05-16T00:00:00.000Z,1,,,,,2009-05-16T00:00:00.000Z,0.049510000000000005,2009-05-16T00:00:00.000Z,1,,,,,,,,
,,2009-05-17T00:00:00.000Z,1,,,,,2009-05-17T00:00:00.000Z,0.049510000000000005,2009-05-17T00:00:00.000Z,1,,,,,,,,
,,2009-05-18T00:00:00.000Z,1,,,,,2009-05-18T00:00:00.000Z,0.049510000000000005,2009-05-18T00:00:00.000Z,1,,,,,,,,
,,2009-05-19T00:00:00.000Z,1,,,,,2009-05-19T00:00:00.000Z,0.049510000000000005,2009-05-19T00:00:00.000Z,1,,,,,,,,
,,2009-05-20T00:00:00.000Z,1,,,,,2009-05-20T00:00:00.000Z,0.049510000000000005,2009-05-20T00:00:00.000Z,1,,,,,,,,
,,2009-05-21T00:00:00.000Z,1,,,,,2009-05-21T00:00:00.000Z,0.049510000000000005,2009-05-21T00:00:00.000Z,1,,,,,,,,
,,2009-05-22T00:00:00.000Z,1,,,,,2009-05-22T00:00:00.000Z,0.049510000000000005,2009-05-22T00:00:00.000Z,1,,,,,,,,
,,2009-05-23T00:00:00.000Z,1,,,,,2009-05-23T00:00:00.000Z,0.049510000000000005,2009-05-23T00:00:00.000Z,1,,,,,,,,
,,2009-05-24T00:00:00.000Z,1.0000000000000002,,,,,2009-05-24T00:00:00.000Z,0.04951,2009-05-24T00:00:00.000Z,1,,,,,,,,
,,2009-05-25T00:00:00.000Z,1.0000000000000002,,,,,2009-05-25T00:00:00.000Z,0.04951,2009-05-25T00:00:00.000Z,1,,,,,,,,
,,2009-05-26T00:00:00.000Z,1.0000000000000002,,,,,2009-05-26T00:00:00.000Z,0.04951,2009-05-26T00:00:00.000Z,1,,,,,,,,
,,2009-05-27T00:00:00.000Z,1,,,,,2009-05-27T00:00:00.000Z,0.049510000000000005,2009-05-27T00:00:00.000Z,1,,,,,,,,
,,2009-05-28T00:00:00.000Z,1,,,,,2009-05-28T00:00:00.000Z,0.049510000000000005,2009-05-28T00:00:00.000Z,1,,,,,,,,
,,2009-05-29T00:00:00.000Z,1,,,,,2009-05-29T00:00:00.000Z,0.049510000000000005,2009-05-29T00:00:00.000Z,1,,,,,,,,
,,2009-05-30T00:00:00.000Z,1,,,,,2009-05-30T00:00:00.000Z,0.049510000000000005,2009-05-30T00:00:00.000Z,1,,,,,,,,
,,2009-05-31T00:00:00.000Z,1,,,,,2009-05-31T00:00:00.000Z,0.049510000000000005,2009-05-31T00:00:00.000Z,1,,,,,,,,
,,2009-06-01T00:00:00.000Z,1.0000000000000002,,,,,2009-06-01T00:00:00.000Z,0.049510000000000005,2009-06-01T00:00:00.000Z,1,,,,,,,,
,,2009-06-02T00:00:00.000Z,1,,,,,2009-06-02T00:00:00.000Z,0.049510000000000005,2009-06-02T00:00:00.000Z,1,,,,,,,,
,,2009-06-03T00:00:00.000Z,1,,,,,2009-06-03T00:00:00.000Z,0.049510000000000005,2009-06-03T00:00:00.000Z,1,,,,,,,,
,,2009-06-04T00:00:00.000Z,1.0000000000000002,,,,,2009-06-04T00:00:00.000Z,0.04951,2009-06-04T00:00:00.000Z,1,,,,,,,,
,,2009-06-05T00:00:00.000Z,1.0000000000000002,,,,,2009-06-05T00:00:00.000Z,0.04951,2009-06-05T00:00:00.000Z,1,,,,,,,,
,,2009-06-06T00:00:00.000Z,1,,,,,2009-06-06T00:00:00.000Z,0.049510000000000005,2009-06-06T00:00:00.000Z,1,,,,,,,,
,,2009-06-07T00:00:00.000Z,1,,,,,2009-06-07T00:00:00.000Z,0.049510000000000005,2009-06-07T00:00:00.000Z,1,,,,,,,,
,,2009-06-08T00:00:00.000Z,1.0000000000000002,,,,,2009-06-08T00:00:00.000Z,0.04951,2009-06-08T00:00:00.000Z,1,,,,,,,,
,,2009-06-09T00:00:00.000Z,1,,,,,2009-06-09T00:00:00.000Z,0.049510000000000005,2009-06-09T00:00:00.000Z,1,,,,,,,,
,,2009-06-10T00:00:00.000Z,1.0000000000000002,,,,,2009-06-10T00:00:00.000Z,0.049510000000000005,2009-06-10T00:00:00.000Z,1,,,,,,,,
,,2009-06-11T00:00:00.000Z,1,,,,,2009-06-11T00:00:00.000Z,0.049510000000000005,2009-06-11T00:00:00.000Z,1,,,,,,,,
,,2009-06-12T00:00:00.000Z,1,,,,,2009-06-12T00:00:00.000Z,0.049510000000000005,2009-06-12T00:00:00.000Z,1,,,,,,,,
,,2009-06-13T00:00:00.000Z,1.0000000000000002,,,,,2009-06-13T00:00:00.000Z,0.049510000000000005,2009-06-13T00:00:00.000Z,1,,,,,,,,
,,2009-06-14T00:00:00.000Z,1,,,,,2009-06-14T00:00:00.000Z,0.049510000000000005,2009-06-14T00:00:00.000Z,1,,,,,,,,
,,2009-06-15T00:00:00.000Z,1.0000000000000002,,,,,2009-06-15T00:00:00.000Z,0.049510000000000005,2009-06-15T00:00:00.000Z,1,,,,,,,,
,,2009-06-16T00:00:00.000Z,1,,,,,2009-06-16T00:00:00.000Z,0.049510000000000005,2009-06-16T00:00:00.000Z,1,,,,,,,,
,,2009-06-17T00:00:00.000Z,1,,,,,2009-06-17T00:00:00.000Z,0.049510000000000005,2009-06-17T00:00:00.000Z,1,,,,,,,,
,,2009-06-18T00:00:00.000Z,1.0000000000000002,,,,,2009-06-18T00:00:00.000Z,0.04951,2009-06-18T00:00:00.000Z,1,,,,,,,,
,,2009-06-19T00:00:00.000Z,1,,,,,2009-06-19T00:00:00.000Z,0.049510000000000005,2009-06-19T00:00:00.000Z,1,,,,,,,,
,,2009-06-20T00:00:00.000Z,1,,,,,2009-06-20T00:00:00.000Z,0.049510000000000005,2009-06-20T00:00:00.000Z,1,,,,,,,,
,,2009-06-21T00:00:00.000Z,1,,,,,2009-06-21T00:00:00.000Z,0.049510000000000005,2009-06-21T00:00:00.000Z,1,,,,,,,,
,,2009-06-22T00:00:00.000Z,1,,,,,2009-06-22T00:00:00.000Z,0.049510000000000005,2009-06-22T00:00:00.000Z,1,,,,,,,,
,,2009-06-23T00:00:00.000Z,1,,,,,2009-06-23T00:00:00.000Z,0.049510000000000005,2009-06-23T00:00:00.000Z,1,,,,,,,,
,,2009-06-24T00:00:00.000Z,1,,,,,2009-06-24T00:00:00.000Z,0.049510000000000005,2009-06-24T00:00:00.000Z,1,,,,,,,,
,,2009-06-25T00:00:00.000Z,1,,,,,2009-06-25T00:00:00.000Z,0.049510000000000005,2009-06-25T00:00:00.000Z,1,,,,,,,,
